trial,replay_rejected,check_ns
0,True,6875
1,True,2792
2,True,2334
3,True,2042
4,True,1916
5,True,2042
6,True,1833
7,True,1792
8,True,1834
9,True,2084
10,True,1792
11,True,1875
12,True,1833
13,True,1875
14,True,1792
15,True,1792
16,True,1875
17,True,1750
18,True,1750
19,True,2084
20,True,1750
21,True,1792
22,True,1750
23,True,1792
24,True,1792
25,True,1792
26,True,1750
27,True,1791
28,True,2042
29,True,1708
30,True,1834
31,True,2084
32,True,1792
33,True,1750
34,True,1792
35,True,1792
36,True,1750
37,True,1709
38,True,1750
39,True,1750
40,True,1792
41,True,1750
42,True,1750
43,True,1791
44,True,1792
45,True,1792
46,True,1750
47,True,1750
48,True,1750
49,True,1750
50,True,1750
51,True,1791
52,True,1875
53,True,1834
54,True,1875
55,True,44333
56,True,3792
57,True,2458
58,True,2167
59,True,1875
60,True,1875
61,True,1834
62,True,1833
63,True,1791
64,True,2042
65,True,1917
66,True,4292
67,True,2417
68,True,1958
69,True,1958
70,True,1792
71,True,1791
72,True,1750
73,True,1708
74,True,1750
75,True,1875
76,True,1791
77,True,1709
78,True,1875
79,True,1667
80,True,1708
81,True,1708
82,True,1708
83,True,1708
84,True,1750
85,True,1708
86,True,1875
87,True,1833
88,True,1916
89,True,1875
90,True,1834
91,True,1792
92,True,1834
93,True,2625
94,True,1958
95,True,1917
96,True,1958
97,True,1917
98,True,1958
99,True,1833
