trial,handshake_ns,resume_ns
0,173167,55375
1,185459,44292
2,181667,23250
3,96750,16166
4,95750,15167
5,96167,14792
6,94584,14167
7,94667,13917
8,94583,13958
9,94375,13958
10,94416,14250
11,94333,14208
12,95708,13667
13,95084,13792
14,93917,50792
15,107667,17542
16,224083,64958
17,216291,41541
18,208709,36791
19,141459,20208
20,105375,16792
21,143708,17875
22,89875,13459
23,94750,13750
24,100792,15750
25,87916,12292
26,85083,13167
27,84333,12250
28,86416,12375
29,84208,12125
30,84083,11958
31,84500,12125
32,84250,12125
33,83708,12000
34,84166,12250
35,86250,12250
36,95083,12375
37,96125,15375
38,96750,13416
39,94291,34000
40,105041,14833
41,96292,13333
42,92042,13208
43,91083,13208
44,103875,13375
45,95667,13666
46,166167,20625
47,127625,14250
48,103250,17000
49,124459,20208
50,104458,15625
51,148584,16792
52,141458,18583
53,95666,16542
54,93666,12292
55,84458,15750
56,85542,12209
57,88250,14250
58,84584,12042
59,84000,12583
60,84625,12292
61,84375,12125
62,84000,12000
63,86167,11959
64,83625,12042
65,85875,12250
66,94459,12125
67,86541,12083
68,83708,12042
69,85292,12209
70,87167,12208
71,88583,12750
72,94333,13000
73,92833,12958
74,90542,12583
75,93625,13000
76,103375,13250
77,89666,12708
78,90250,13000
79,90917,12667
80,91167,13000
81,89916,12792
82,90375,12792
83,91333,12834
84,90291,12709
85,90083,12916
86,89833,12708
87,90375,12792
88,90750,12667
89,94000,13375
90,89958,12667
91,90417,12583
92,89708,12834
93,90667,12667
94,93583,13250
95,90083,12708
96,89667,12708
97,162417,25000
98,178250,13500
99,90750,12958
